36.4,273.5,108.5
37.4,262.5,102.5
38.4,256,106
39.3,275.5,92.5
40.3,273,87
41.3,260.5,93.5
42.3,286.5,67.5
43.3,251,84
44.3,282.5,84
45.2,293,75.5
46.2,260.5,74
47.2,236,69
48.2,264,58
49.2,279,59
50.1,271,54.5
51.1,292,61
52.1,329,54.5
53.1,375,67.5
54.1,467,88.5
55,532.5,127.5
56,463.5,125.5
57,356,140
58,396.5,178.5
59,506.5,243
59.9,538,298.5
60.9,663.5,367
61.9,855,514.5
62.9,1045.5,672
63.8,655,446
64.8,216,155.5
65.8,182,115.5
66.8,184.5,116.5
67.8,176.5,131
68.7,176,119.5
69.7,164,102.5
70.7,151.5,104.5
71.7,155.5,90.5
72.6,151.5,87
73.6,137,89
74.6,131,87.5
75.6,142,94.5
76.5,117,85
77.5,126.5,84.5
78.5,116.5,87
79.5,126,86
80.4,109,87.5
81.4,96,69
